MATERIA;CLASSE;ERA;SETTORE;TIPO;INCLUDERE;DOMANDA;CORRETTA;OPZIONE_1;OPZIONE_2;OPZIONE_3;OPZIONE_4
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa indica il codice di stato 403?;1;Il client non possiede i privilegi necessari per poter effettuare la richiesta o accedere  ad una determinata risorsa;La risorsa richiesta dal client non presente nel server;Il metodo utilizzato nella richiesta del client non è compatibile con l'URL o la risorsa specificata ;La richiesta del client ha generato un errore all'interno del server
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa indica i codice di stato 404?;1;La risorsa richiesta dal client non presente nel server;Il metodo utilizzato nella richiesta del client non è compatibile con l'URL o la risorsa specificata ;La richiesta del client ha generato un errore all'interno del server;Il client non possiede i privilegi necessari per poter effettuare la richiesta o accedere  ad una determinata risorsa
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa indica il codice di stato 405?;1;Il metodo utilizzato nella richiesta del client non è compatibile con l'URL o la risorsa specificata ;La risorsa richiesta dal client non presente nel server;Il client non possiede i privilegi necessari per poter effettuare la richiesta o accedere  ad una determinata risorsa;Il client deve fornire delle credenziali per poter effettuare la richiesta o accedere ad una determinata risorsa
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa indica il codice di stato 500?;1;La richiesta del client ha generato un errore all'interno del server;Il metodo utilizzato nella richiesta del client non è compatibile con l'URL o la risorsa specificata ;La risorsa richiesta dal client non presente nel server;Il client non possiede i privilegi necessari per poter effettuare la richiesta o accedere  ad una determinata risorsa
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Da quale protocollo viene garantita la sicurezza di HTTPS?;1;TLS/SSL;TCP;UDP;FTP
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Come avviene l'autenticazione nel protocollo TLS?;1;In maniera unilaterale: solo il server deve dimostrare la propria identità;In maniera unilaterale: solo il client deve dimostrare la propria identità;In maniera bilaterale: server e client devono dimostrare la propria identità;Non è prevista autenticazione nel protocollo TLS
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale codice di stato indica il successo di una richiesta?;1;200;300;404;500
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale codice di stato indica l'impossibilità di trovare la risorsa richiesta dal client?;1;404;200;301;401
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale codice di stato indica che la richiesta del client non è avvenuta per mancata autenticazione del client stesso?;1;401;403;404;500
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale codice di stato indica che la richiesta del client non è avvenuta per mancanza di privilegi del client su quella risorsa?;1;403;402;401;404
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale codice di stato indica che la risorsa richiesta dal client è stata spostata e che dunque il client potrà essere reindirizzato sulla corretta posizione?;1;301;404;200;500
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per segretezza nel contesto della sicurezza informatica?;1;Che le informazioni siano leggibili e comprensibili solo dalle persone facenti parte della comunicazione;Che è necessario assicurarsi dell'identità della persona che invia messaggi o con cui stiamo effettuando una comunicazione;Che bisogna avere la garanzia e la certezza che un documento ottenuto sia originale e che non sia stato alterato durante la comunicazione;Che il sistema di comunicazione sia tollerante ai guasti e sempre disponibile e funzionante, anche in caso di attacco esterno o problemi interni
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per autenticazione nel contesto della sicurezza informatica?;2;Che le informazioni siano leggibili e comprensibili solo dalle persone facenti parte della comunicazione;Che è necessario assicurarsi dell'identità della persona che invia messaggi o con cui stiamo effettuando una comunicazione;Che bisogna avere la garanzia e la certezza che un documento ottenuto sia originale e che non sia stato alterato durante la comunicazione;Che il sistema di comunicazione sia tollerante ai guasti e sempre disponibile e funzionante, anche in caso di attacco esterno o problemi interni
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per affidabilità nel contesto della sicurezza informatica?;3;Che le informazioni siano leggibili e comprensibili solo dalle persone facenti parte della comunicazione;Che è necessario assicurarsi dell'identità della persona che invia messaggi o con cui stiamo effettuando una comunicazione;Che bisogna avere la garanzia e la certezza che un documento ottenuto sia originale e che non sia stato alterato durante la comunicazione;Che il sistema di comunicazione sia tollerante ai guasti e sempre disponibile e funzionante, anche in caso di attacco esterno o problemi interni
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Avere la garanzia e la certezza che un documento ottenuto sia originale e che non sia stato alterato, quale aspetto della sicurezza informatica riguarda?;3;Segretezza;Autenticazione;Affidabilità;Disponibilità
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Assicurarsi dell'identità della persona di chi invia messaggi o con cui stiamo effettuando una comunicazione, quale aspetto della sicurezza informatica riguarda?;2;Segretezza;Autenticazione;Affidabilità;Disponibilità
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Garantire che le informazioni siano leggibili e comprensibili solo da chi ne ha i diritti, e quindi solo dal mittente e dal destinatario, quale aspetto della sicurezza informatica riguarda?;1;Segretezza;Autenticazione;Affidabilità;Disponibilità
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa è la crittografia?;1;L'insieme delle tecniche che consentono la cifratura e la decifratura delle informazioni;L'insieme delle tecniche per effettuare attacchi man in the middle;L'insieme di tutti gli algoritmi di cifratura a chiave simmetrica;L'insieme di tutti gli algoritmi di cifratura a chiave asimmetrica
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per plain text?;1;Il messaggio originale da cifrare;Il messaggio ricevuto da decifrare;Il messaggio che arriva destinazione;Il messaggio che non necessita di cifratura
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per cypher text?;2;Il messaggio originale da cifrare;Il messaggio ricevuto da decifrare;Il messaggio che arriva destinazione;Il messaggio che non necessita di cifratura
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;In quale livello della pila TCP/IP viene affrontato principalmente il problema della sicurezza informatica?;4;Livello fisico;Livello di rete;Livello di trasporto;Livello applicativo
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quali sono gli aspetti fondamentali di un algoritmo di cifratura?;3;La sola tecnica utilizzata per cifrare;La sola chiave utilizzata;La tecnica utilizzata e la chiave;Ogni algoritmo è unico, dunque non è possibile definire degli aspetti fondamentali generali
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti aspetti deve essere sempre mantenuto segreto per garantire la sicurezza di un algoritmo di cifratura?;2;La sola tecnica utilizzata per cifrare;La sola chiave utilizzata;La tecnica utilizzata e la chiave;Tutti gli aspetti devono essere mantenuti segreti
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti aspetti di un algoritmo di cifratura deve essere conosciuto a tutti?;1;La sola tecnica utilizzata per cifrare;La sola chiave utilizzata;La tecnica utilizzata e la chiave;Nessun aspetto deve essere conosciuto a tutti
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per attacco a forza bruta?;1;Verificare tutte le soluzioni possibili, finché non si trova quella corretta;Modificare lo schema interno di un algoritmo;Forzare fisicamente l'hardware di un sistema informatico;Rubare forzatamente i supporti di memoria di un sistema informatico
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per attacco man in the middle?;1;Un terzo elemento della comunicazione ritrasmette o altera la comunicazione tra due parti;Un terzo elemento si limita ad interrompere la comunicazione tra due parti;Un terzo elemento si limita a cancellare i messaggi di una delle due parti della comunicazione;Nessuna delle precedenti
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per attacco man in the middle passivo?;1;La terza parte si limita a ritrasmette i messaggi alle due parti;La terza parte altera i messaggi inviati dalle due parti;La terza parte cancella tutti i messaggi inviati dalle due parti;La terza parte cifra tutti i messaggi inviati dalle due parti
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per attacco man in the middle attivo?;2;La terza parte si limita a ritrasmette i messaggi alle due parti;La terza parte altera i messaggi inviati dalle due parti;La terza parte cancella tutti i messaggi inviati dalle due parti;La terza parte cifra tutti i messaggi inviati dalle due parti
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per algoritmo di cifratura simmetrico?;1;Un algoritmo di cifratura dove mittente e destinatario utilizzano la stessa chiave;Un algoritmo di cifratura dove mittente e destinatario utilizzano chiavi diverse, una per ognuno;Un algoritmo di cifratura dove mittente e destinatario utilizzano chiavi diverse, due per ognuno;Un algoritmo di cifratura dove plain text e cypher text coincidono
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per algoritmo di cifratura asimmetrico?;3;Un algoritmo di cifratura dove mittente e destinatario utilizzano la stessa chiave;Un algoritmo di cifratura dove mittente e destinatario utilizzano chiavi diverse, una per ognuno;Un algoritmo di cifratura dove mittente e destinatario utilizzano chiavi diverse, due per ognuno;Un algoritmo di cifratura dove plain text e cypher text coincidono
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Nel caso in cui mittente e destinatario condividano la stessa chiave, che tipo di algoritmo di cifratura stanno utilizzando?;1;Algoritmo di cifratura simmetrico;Algoritmo di cifratura asimmetrico, con sola chiave pubblica;Algoritmo di cifratura asimmetrico, con sola chiave privata;Algoritmo di cifratura asimmetrico, con chiave pubblica e privata
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Nel caso in cui mittente e destinatario condividano chiavi diverse, che tipo di algoritmo di cifratura stanno utilizzando?;4;Algoritmo di cifratura simmetrico;Algoritmo di cifratura asimmetrico, con sola chiave pubblica;Algoritmo di cifratura asimmetrico, con sola chiave privata;Algoritmo di cifratura asimmetrico, con chiave pubblica e privata
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;In quale contesto sono presenti una chiave pubblica e una chiave privata?;2;Negli algoritmi di cifratura simmetrici;Negli algoritmi di cifratura asimmetrici;Negli algoritmi di cifratura simmetrici e asimmetrici;In nessun tipo di algoritmo di cifratura
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa stabilisce il principio di Kerckhoffs?;1;La chiave è l'elemento fondamentale per la sicurezza di un algoritmo di cifratura;Tutte le informazioni possono essere cifrate;L'attacco a forza bruta porta sempre ad un esito positivo;Nessun algoritmo di cifratura è totalmente sicuro
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se sorgente e destinatario utilizzando un algoritmo a chiave simmetrica, quante chiavi diverse vengono utilizzate all'interno della comunicazione?;1;1;2;3;4
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa sta per D.E.S.?;1;Data Encryption Standard;Data Encryption Security;Defined Encrypted Standard;Decryption Encryption System
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa è il DES?;1;Un algoritmo di cifratura simmetrico;Un algoritmo di cifratura asimmetrico;Un protocollo;Un tipo di interfaccia di comunicazione
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quanto è lunga la chiave utilizzata nel DES?;2;Sempre 64 bit;Parte da 64 bit per essere ridotta a 56 bit;Sempre 56 bit;Parte da 64 bit per essere ridotta a 32 bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa intende per algoritmo di cifratura a blocchi?;1;Il messaggio da cifrare viene suddiviso in blocchi con stesso numero di bit;Il messaggio cifrato è un insieme di più messaggi cifrati;L'algoritmo può bloccarsi più volte durante la sua esecuzione;Il messaggio da cifrare viene cifrato per singoli bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quanto è lungo il blocco da cifrare dal DES?;4;8 bit;16 bit;32 bit;64 bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quanto è lungo il blocco cifrato dal DES?;4;8 bit;16 bit;32 bit;64 bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;In quante parti è suddiviso un blocco che deve essere cifrato dal DES?;1;2;3;4;5
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quante iterazioni/round sono effettuate all'interno del DES?;2;8;16;24;32
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per principio di diffusione all'interno del DES?;1;Il testo cifrato deve dipendere il meno possibile da testo in chiaro;Il testo cifrato deve dipendere il più possibile dal testo in chiaro;Il testo cifrato deve dipendere il meno possibile dalla chiave utilizzata;Il testo cifrato deve dipendere il più possibile dalla chiave utilizzata
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per principio di confusione all'interno del DES?;3;Il testo cifrato deve dipendere il meno possibile da testo in chiaro;Il testo cifrato deve dipendere il più possibile dal testo in chiaro;Il testo cifrato deve dipendere il meno possibile dalla chiave utilizzata;Il testo cifrato deve dipendere il più possibile dalla chiave utilizzata
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per permutazione?;1;Scambio di posto dei bit;Sostituzione dei bit con altri bit;Utilizzo dello XOR;Scambio e sostituzione dei bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per sostituzione?;2;Scambio di posto dei bit;Sostituzione dei bit con altri bit;Utilizzo dello XOR;Scambio e sostituzione dei bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa ha reso poco sicuro il DES nel corso degli anni?;1;La lunghezza della chiave;L'incremento della dimensione dei file scambiati su internet;La nascita del protocollo Ethernet;La lunghezza del blocco da cifrare
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per effetto valanga all'interno del DES?;1;Un piccolo cambiamento nel testo in chiaro, provoca un grosso cambiamento nel testo cifrato;Un piccolo cambiamento nel testo in chiaro, non deve provocare alcun cambiamento nel testo cifrato;La chiave deve essere più lunga possibile;Il numero di iterazioni deve essere il più alto possibile
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Come è possibile decifrare un messaggio cifrato con il DES?;1;Utilizzando le iterazioni nell'ordine inverso della cifratura;Utilizzando le iterazioni nello stesso ordine della cifratura;Utilizzando l'algoritmo SED;Utilizzando la chiave al contrario
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quante sono tutte le possibili chiavi utilizzabili con il DES?;3;Infinite;Solo 56;2^56;2^32
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale operazione logica viene coinvolta all'interno di ogni iterazione del DES?;4;AND;OR;NOT;XOR
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Che processo subisce la chiave utilizzata in ogni iterazione del DES?;2;Espansione ;Compressione ;Nessun processo;Viene direttamente messa a XOR con il testo da cifrare
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se abbiamo un'informazione di 448 bit, quanti blocchi dovrà cifrare il DES?;4;4;5;6;7
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se abbiamo un'informazione di 512 bit, quanti blocchi dovrà cifrare il DES?;3;6;7;8;9
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se abbiamo un'informazione di 704 bit, quanti blocchi dovrà cifrare il DES?;1;11;12;13;14
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Da cosa è dovuta la poca sicurezza del DES?;3;L'utilizzo delle SBOX;Il numero di iterazioni interne;La dimensione della chiave;Dalla dimensione del blocco da cifrare
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;In cosa consiste il 3DES?;1;Applicare 3 volte il DES utilizzando 3 chiavi diverse;Moltiplicare per 3 volte il numero di iterazioni interne del DES;Usare chiavi multiple di 3;Cifrare 3 blocchi di informazioni contemporaneamente
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Perché la fase intermedia del 3DES usa la decifratura del DES?;1;Per rendere il 3DES retrocompatibile con il DES;Per rendere più sicuro il 3DES;Per rendere più veloce il 3DES;Per aumentare la confusione e la diffusione
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quanto è lunga la chiave del 3DES?;3;56 bit;64 bit;168 bit se si usano 3 chiavi differenti, 112 bit se si usano due chiavi differenti;Sempre 168 bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Qual è il successore del DES e del 3DES?;1;AES;RSA;IDEA;Nessuno dei precedenti
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti algoritmi è lo standard attuale per la cifratura dei dati?;3;DES;3DES;AES;IDEA
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quanto è lungo il blocco cifrato dall'AES?;2;64 bit;128 bit;168 bit se si usano 3 chiavi differenti, 112 bit se si usano due chiavi differenti;192 bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quanto è lunga la chiave dell'AES?;4;Solo 128 bit;Solo 192 bit;Solo 256 bit;Sia 128, 192 che 256 bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Come vengono disposti i bit da cifrare dell'AES?;1;In una matrice 4x4;In una matrice 8*2;In una lista lunga 128 bit;Nessuna delle precedenti
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quanti bit sono presenti all'interno di una cella del blocco da cifrare dell'AES?;4;1 bit;2 bit;4 bit;8 bit
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quante operazioni sono presenti in un'iterazione dell'AES?;1;4;5;6;7
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa fa la funzione SubstituteBytes nell'AES?;1;Sostituisce ogni singolo bytes del blocco da cifrare con un nuovo bytes utilizzando una tabella apposita;Sposta le righe a sinistra del blocco da cifrare (eccetto la prima riga) di 1, 2 e 3 posti;Ogni colonna del blocco da cifrare viene sostituita con il risultato del prodotto matriciale tra la stessa colonna e una colonna di una matrice apposita;Ogni byte del blocco da cifrare viene sostituito con il risultato dello XOR tra il bytes del blocco da cifrare e quello della chiave
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa fa la funzione ShiftRows nell'AES?;2;Sostituisce ogni singolo bytes del blocco da cifrare con un nuovo bytes utilizzando una tabella apposita;Sposta le righe a sinistra del blocco da cifrare (eccetto la prima riga) di 1, 2 e 3 posti;Ogni colonna del blocco da cifrare viene sostituita con il risultato del prodotto matriciale tra la stessa colonna e una colonna di una matrice apposita;Ogni byte del blocco da cifrare viene sostituito con il risultato dello XOR tra il bytes del blocco da cifrare e quello della chiave
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa fa la funzione MixColumns nell'AES?;3;Sostituisce ogni singolo bytes del blocco da cifrare con un nuovo bytes utilizzando una tabella apposita;Sposta le righe a sinistra del blocco da cifrare (eccetto la prima riga) di 1, 2 e 3 posti;Ogni colonna del blocco da cifrare viene sostituita con il risultato del prodotto matriciale tra la stessa colonna e una colonna di una matrice apposita;Ogni byte del blocco da cifrare viene sostituito con il risultato dello XOR tra il bytes del blocco da cifrare e quello della chiave
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa fa la funzione AddRoundKey nell'AES?;4;Sostituisce ogni singolo bytes del blocco da cifrare con un nuovo bytes utilizzando una tabella apposita;Sposta le righe a sinistra del blocco da cifrare (eccetto la prima riga) di 1, 2 e 3 posti;Ogni colonna del blocco da cifrare viene sostituita con il risultato del prodotto matriciale tra la stessa colonna e una colonna di una matrice apposita;Ogni byte del blocco da cifrare viene sostituito con il risultato dello XOR tra il bytes del blocco da cifrare e quello della chiave
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quante iterazioni vengono effettuate nell'AES utilizzando una chiave a 128 bit?;1;10;11;12;14
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale operazione logica viene coinvolta all'interno di ogni iterazione dell'AES relativamente ala chiave?;1;XOR;AND;OR;NOT
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Qual è il limite principale degli algoritmi di cifratura a chiave simmetrica?;1;La difficoltà nella condivisione della chiave tra i due comunicanti;La dimensione troppo piccola delle chiavi;Il numero eccessivo di iterazioni all'interno degli algoritmi;L'impossibilità di implementazione direttamente in hardware
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Nella cifratura asimmetrica, quante chiave possiede ogni utente?;2;1;2;3;4
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Come si garantisce la riservatezza tra Alice e Bob utilizzando la cifratura asimmetrica?;1;Alice cifra con la chiave pubblica di Bob e Bob decifra con la sua chiave privata;Alice cifra con la sua chiave privata e Bob decifra con la chiave pubblica di Alice;Alice cifra con la sua chiave privata e con la chiave pubblica di Bob e Bob decifra con la sua chiave privata e con la chiave pubblica di Alice;Alice cifra con la chiave privata di Bob e Bob decifra con la sua chiave pubblica
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Come si garantisce l'autenticazione tra Alice e Bob utilizzando la cifratura asimmetrica?;2;Alice cifra con la chiave pubblica di Bob e Bob decifra con la sua chiave privata;Alice cifra con la sua chiave privata e Bob decifra con la chiave pubblica di Alice;Alice cifra con la sua chiave privata e con la chiave pubblica di Bob e Bob decifra con la sua chiave privata e con la chiave pubblica di Alice;Alice cifra con la chiave privata di Bob e Bob decifra con la sua chiave pubblica
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Come si garantisce sia la riservatezza che l'autenticazione tra Alice e Bob utilizzando la cifratura asimmetrica?;3;Alice cifra con la chiave pubblica di Bob e Bob decifra con la sua chiave privata;Alice cifra con la sua chiave privata e Bob decifra con la chiave pubblica di Alice;Alice cifra con la sua chiave privata e con la chiave pubblica di Bob e Bob decifra con la sua chiave privata e con la chiave pubblica di Alice;Alice cifra con la chiave privata di Bob e Bob decifra con la sua chiave pubblica
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Perché è possibile condividere la chiave pubblica senza problemi?;1;Perchè è impossibile risalire alla rispettiva chiave privata;Perché si utilizza una volta sola;Perché è di piccole dimensioni (pochi bit);Perché non è utilizzata per la cifratura
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se Alice deve mandare un messaggio in maniera riservata a Bob, cosa dovrebbero fare Alice e Bob?;1;Alice cifra con la chiave pubblica di Bob e Bob decifra con la sua chiave privata;Alice cifra con la sua chiave privata e Bob decifra con la chiave pubblica di Alice;Alice cifra con la sua chiave privata e con la chiave pubblica di Bob e Bob decifra con la sua chiave privata e con la chiave pubblica di Alice;Alice cifra con la chiave privata di Bob e Bob decifra con la sua chiave pubblica
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se Alice manda un messaggio a Bob cifrandolo con la chiave pubblica di Bob, come potrà decifrarlo Bob?;1;Bob potrà decifrarlo con la sua chiave privata ;Bob potrà decifrarlo con la sua chiave pubblica;Bob potrà decifrarlo prima con la sua chiave privata e poi con la chiave pubblica di Alice;Bob potrà decifrarlo con la chiave pubblica di Alice
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se Alice manda un messaggio a Bob cifrandolo con la chiave privata di Alice, come potrà decifrarlo Bob?;4;Bob potrà decifrarlo con la sua chiave privata ;Bob potrà decifrarlo con la sua chiave pubblica;Bob potrà decifrarlo prima con la sua chiave privata e poi con la chiave pubblica di Alice;Bob potrà decifrarlo con la chiave pubblica di Alice
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se Alice manda un messaggio a Bob cifrandolo prima con la chiave privata di Alice e poi con la chiave pubblica di Bob, come potrà decifrarlo Bob?;3;Bob potrà decifrarlo con la sua chiave privata ;Bob potrà decifrarlo con la sua chiave pubblica;Bob potrà decifrarlo prima con la sua chiave privata e poi con la chiave pubblica di Alice;Bob potrà decifrarlo con la chiave pubblica di Alice
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se Alice manda un messaggio a Bob cifrandolo solo con la chiave pubblica di Bob, che aspetto della comunicazione si sta garantendo?;1;Riservatezza;Autenticazione ;Integrità delle informazioni;Riservatezza e autenticazione
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se Alice manda un messaggio a Bob cifrandolo solo con la chiave privata di Alice, che aspetto della comunicazione si sta garantendo?;2;Riservatezza;Autenticazione ;Integrità delle informazioni;Riservatezza e autenticazione
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Se Alice manda un messaggio a Bob cifrandolo sia con la chiave pubblica di Bob che con la chiave privata di Alice, che aspetto della comunicazione si sta garantendo?;4;Riservatezza;Autenticazione ;Integrità delle informazioni;Riservatezza e autenticazione
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Da quante fasi è caratterizzato l'RSA?;2;1 fase;2 fasi;3 fasi;4 fasi
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Su cosa basa la propria sicurezza l'algoritmo RSA?;1;Sulla difficoltà di scomporre in fattori primi un numero molto grande;Sulla difficoltà di trovare un numero coprimo con un altro numero;Sulla difficoltà di generare le chiavi;Sul metodo di cifratura basato sulla potenza
;;;;;;;;;;;
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Che cosa è la CPU?;1;Rappresenta il centro di calcolo ed elaborazione di un computer;Il luogo in cui vengono conservati i dati da elaborare;L'elemento che elabora le immagini da mostrare sul monitor;L'elemento che mette in comunicazione i vari componenti
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;A cosa serve la scheda madre?;4;Rappresenta il centro di calcolo ed elaborazione di un computer;Il luogo in cui vengono conservati i dati da elaborare;L'elemento che elabora le immagini da mostrare sul monitor;L'elemento che mette in comunicazione i vari componenti
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Come comunicano tra di loro le componenti di un computer?;1;Attraverso la scheda madre;Attraverso la RAM;Attraverso la CPU;Attraverso l'hardisk
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Che ruolo ha la memoria centrale?;2;Rappresenta il centro di calcolo ed elaborazione di un computer;Il luogo in cui vengono conservati i dati da elaborare;L'elemento che elabora le immagini da mostrare sul monitor;L'elemento che mette in comunicazione i vari componenti
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Che ruolo ha la memoria di massa?;3;Una memoria meno capiente rispetto alle altre;Una memoria volatile;Una memoria in cui vanno conservati per molto tempo i dati;Una memoria molto veloce
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Cosa è la ALU?;2;Un tipo di memoria;Il componente specializzato nei calcoli aritmetici;Un componente che gestisce la RAM;Nessuna delle precedenti
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Qual è l'unità di misura dell'informazione?;1;bit;byte;RPM;Hz
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Dove sono memorizzate le informazioni che verranno lette o scritte dalla CPU quando sono eseguite le istruzioni?;1;Nei registri;Nell'hard disk;Nella cache;Nel bus
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;A cosa serve il bus dati?;1;Al trasferimento dei dati tra la CPU e la RAM;Per la cancellazione dei dati nella RAM;Per la lettura dei dati nell'hard disk;Per la scrittura dei dati nell'hard disk
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;A cosa serve il bus degli indirizzi?;1;A selezionare una cella della RAM su cui leggere o scrivere;A leggere i dati dalla RAM;A scrivere i dati sulla RAM;A leggere e scrivere dati sulla RAM
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;A cosa serve il bus di controllo?;1;Ad indicare se la CPU può leggere o scrivere sulla RAM;Ad effettuare calcoli;A leggere dati dalla CPU;A scrivere dati sulla CPU
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;Che tipo di operazioni può eseguire una CPU?;2;Operazioni geometriche;Operazioni aritmetiche;Operazioni lineari;Operazioni logaritmiche
SISTEMI E RETI;3F;1;TEORIA;QUIZ;SI;A cosa serve il clock?;1;A sincronizzare la CPU con gli altri componenti;A conservare l'orario;A fornire la corrente alla CPU;Nessuna delle precedenti
